sku,Total_Revenue,Total_Quantity,ASP
J0167-KR-S,2503.0,6,417.1666666666667
J0167-KR-XL,3773.0,12,314.4166666666667
J0167-KR-XS,634.0,3,211.33333333333334
J0167-KR-XXL,1281.0,4,320.25
J0168-DR-L,443.0,1,443.0
J0168-DR-M,864.9,1,864.9
J0168-DR-S,1363.0,3,454.3333333333333
J0170-TP-A-L,329.0,1,329.0
J0170-TP-A-M,329.0,1,329.0
J0170-TP-A-S,301.0,1,301.0
J0170-TP-A-XL,1288.0,4,322.0
J0171-DR-L,1953.0,4,488.25
J0171-DR-M,488.0,1,488.0
J0171-DR-XL,488.0,1,488.0
J0171-DR-XXL,2442.0,5,488.4
J0172-TP-L,1554.0,3,518.0
J0172-TP-M,518.0,1,518.0
J0172-TP-XL,2041.0,4,510.25
J0172-TP-XS,499.0,1,499.0
J0172-TP-XXL,729.0,1,729.0
J0172-TP-XXXL,1005.0,2,502.5
J0173-DR-L,420.0,1,420.0
J0173-DR-S,856.0,2,428.0
J0173-DR-XL,400.0,0,inf
J0173-DR-XS,2317.0,4,579.25
J0174-TP-S,423.0,1,423.0
J0174-TP-XL,846.0,2,423.0
J0174-TP-XS,846.0,2,423.0
J0175-KR-L,952.0,2,476.0
J0175-KR-M,2879.0,6,479.8333333333333
J0175-KR-S,1428.0,3,476.0
J0175-KR-XL,961.0,2,480.5
J0175-KR-XXL,975.0,2,487.5
J0175-KR-XXXL,1927.0,4,481.75
J0176-TP-L,3410.0,7,487.14285714285717
